问题,预期意图,相近意图,是否处于意图边界
盐湖股份,诊股类,,否
海光信息最近为什么一直盘着,诊股类,新闻类,是
002324可以继续持有吗,诊股类,,否
股市中GEO概念指的是哪方面,知识库类,,否
指南针怎么实现量化工具自动买卖点,知识库类,,否
紫光股份,诊股类,身份类,是
星源材质未来趋势,预测类,,否
核聚变有哪些行业，包括哪些板块,选股类,知识库类,是
天融信有一波反弹吗,诊股类,预测类,是
莱宝高科,诊股类,,否
谢谢啦,通用类,,否
明天航天发展怎么逃,预测类,,否
陈小群交易策略,策略类,,否
擒龙平台里突破选股搜不到,知识库类,选股类,是
AI十能翻倍的股票,选股类,,否
明天天气怎么样？,通用类,,否
你太笨了，,通用类,,否
今天股价在11.47的股票是什么,选股类,指标查询类,是
指南针软件自选删除了能不能恢复,知识库类,,否
你与豆包有什么区别,通用类,,否
那方面的股票能翻十倍,推荐类,选股类,是
陈小群持仓的股票,选股类,,否
字体大点,通用类,,否
90%筹码和70%筹码有什么意义,知识库类,,否
京津冀一体化的标的股,选股类,,否
创新医疗,诊股类,,否
沪电股份,诊股类,,否
603703能进吗,诊股类,选股类,是
雷电微力未来走势,预测类,,否
中航西飞未来走势,预测类,,否
中航机载要清仓吗,诊股类,,否
中坚科技112买入的，一直跌，继续持有还是卖掉？,诊股类,,否
三安光电未来走势,预测类,,否
中行西飞未来走势,预测类,,否
今日收盘首板，市值小于500亿，半年内涨停少于3次的不要，一年内爆涨超过40%以上的淘汰，有板块效益的股票有哪些,选股类,,否
天下秀,诊股类,身份类,是
由可控核聚变和航天发展的股票有哪些？,选股类,,否
近期13日内主力资金净注入超过一亿，涨幅低于9%的，航天军工板块和计算机应用板块有哪些股票,选股类,,否
兖矿能源未来走势,预测类,,否
分析一下张江高科,诊股类,,否
股权投资的股票,选股类,知识库类,是
海格通信,诊股类,,否
GEO是什么,知识库类,,否
近期13日内主力资金净注入超过1亿，涨幅低于4%的，有哪些股票,选股类,,否
查找锁定因子LFS在60以上的股票,选股类,,否
分析一下众兴菌业,诊股类,,否
金风科技还会涨吗,预测类,,否
当前公告业绩预增的股票,选股类,新闻类,是
光通讯模块概念的总龙头是谁,选股类,知识库类,是
竞价涨幅2—4主板股票,选股类,,否
分析英利汽车,诊股类,,否
股票严重异动对股票有什么影响,知识库类,,否
海光信息未来可期吗,预测类,,否
近期5日内主力资金净注入超过一亿，涨幅低于9%的，航天军工板块和计算机应用板块、原件板块、光学光电子板块、传媒板块有哪些股票,选股类,,否
汇得科技怎样,诊股类,,否
603011,诊股类,,否
茺矿能源未来走势,预测类,,否
K线图上蓝色和紫色K线是什么意思,知识库类,,否
山子高科未来走势,预测类,,否
查找锁定因子LFS在60以上的股票,选股类,,否
锁定因子是什么,知识库类,,否
分析一下920196,诊股类,,否
碳酸锂期货为什么在9%是涨停,诊股类,知识库类,是
分析一下璞泰来,诊股类,,否
同时涉及航天和AI的股票,选股类,,否
今日收盘首板，市值小于300亿，半年内涨停少于3次的不要，一年内爆涨超过40%以上的淘汰，有板块效益的股票有哪些,选股类,,否
分析一下菲利华为什么连跌,诊股类,,否
中兴通讯还可以持有吗,诊股类,,否
岩山科技是龙头吗,诊股类,知识库类,是
歌尔股份属于科技股吗,诊股类,知识库类,是
000516趋势,诊股类,预测类,是
海特高新,诊股类,,否
今天资金流入多的主线股票,选股类,,否
查找锁定因子LFS在55以上股票,选股类,,否
科大讯飞明天能进去吗,预测类,,否
同时涉及航天军工和AI智能的股票,选股类,,否
电气风电怎么样？,诊股类,,否
明天可以入手可控核聚变哪些股票,推荐类,,否
600184趋势,诊股类,K线图类,是
近期5日内主力资金净注入超过6千万，涨幅低于9%的，航天军工板块和计算机应用板块、原件板块、光学光电子板块、传媒板块有哪些股票,选股类,,否
海马汽车明天优势,预测类,,否
基金的手续费是多少,知识库类,,否
独角兽概念今天涨停的股票,选股类,,否
IDc概念股,选股类,,否
可以当天买当天卖吗,知识库类,,否
今天首板股票,选股类,,否
近期5日内主力资金净注入超过一亿，涨幅低于9%的，航天军工板块和计算机应用板块有哪些股票,选股类,,否
科大讯飞,诊股类,身份类,是
Al+制造有那些股票,选股类,,否
000917,诊股类,,否
IDC行业是什么行业,知识库类,,否
截止到1月12日陈小群持股情况,指标查询类,,否
对股票什,诊股类,选股类,是
近期13日内主力资金净注入超过一亿，涨幅低于9%的，航天军工板块和计算机应用板块、原件板块、光学光电子板块、传媒板块有哪些股票,选股类,,否
159218ETF,诊股类,身份类,是
近期5日内主力资金净注入超过1亿，涨幅低于4%，航天军工板块有哪些股票,选股类,,否
业绩预增50％的股票,选股类,,否
信捷电器,诊股类,身份类,是
海航控股,诊股类,身份类,是
603817怎么看,诊股类,,否
万向钱潮股价快速回落，尾盘集合竞价大单买入,诊股类,,否
高业航天有那些股票,选股类,,否
海上回收概念股票,选股类,,否
如何下载动态擒龙版PC版,知识库类,,否
帮我分析一下，生益科技。,诊股类,,否
帮我分析一下东田微,诊股类,,否
帮忙分析一下太钢不锈走势,诊股类,,否
三六零,诊股类,身份类,是
帮我分析一下中京电子,诊股类,,否
商业航天上游股票,选股类,,否
商业航天低位股票分析下,诊股类,选股类,是
北矿检测,诊股类,,否
预测一下明天潍柴重机的走势,预测类,,否
Al应用有那些股票,选股类,,否
如何制定我的交易计划,知识库类,策略类,是
今天底位首板股票,选股类,,否
近期13日内主力资金净注入超过1亿，涨幅低于4%的股票,选股类,,否
力鸿一号飞行成功 背后的意义是什么,新闻类,,否
航天工程昨夜有什么变动没有,选股类,,否
苹果笔记本怎么使用指南针炒股软件,知识库类,,否
航天工程昨夜有什么变动没有,新闻类,,否
所有帐户都可交易基金吗,知识库类,,否
TCL科技并购重组了吗？,新闻类,,否
商业卫星有那些股票,选股类,,否
拓尔思有调研报告吗,新闻类,,否
卧龙电驱后期走势,预测类,,否
关于完成工商变更登记的公吿有哪些,新闻类,,否
可控核聚变成分股有哪些？,选股类,,否
估值空间怎么调出,知识库类,,否
上证基金和深证基金手续费有差别吗？比股票少吗？,知识库类,,否
为什么预测上榜的股票，涨幅>7%才列入该股票池？,知识库类,预测类,是
游资交易数据哪里看,知识库类,,否
ai+概念股,选股类,,否
美国加征关税政策对国内股市有什么影响吗,新闻类,,否
利欧股份股票停牌什么时间复牌,新闻类,,否
六大战区中有发生了大事,新闻类,,否
炒基金是T十0吗,知识库类,,否
上海机场有利好消息吗？,新闻类,,否
卫星ETF明天走势,预测类,,否
帮我分析一下诲峡环保,诊股类,,否
火箭回收船概念龙头股,选股类,,否
商业航天卫星供电概念股,选股类,,否
6000498是那一板块的,诊股类,指标查询类,是
明天买什么票比较好,推荐类,,否
今年电子半导体概念和板块是不是国家扶持政策和补贴政策呢,新闻类,知识库类,是
预测上榜的理由是什么？,预测类,知识库类,是
海立股份B转A完成了吗,诊股类,新闻类,是
制造卫星的有哪几家公司,选股类,知识库类,是
Al玩具股票,选股类,,否
明天直接强势股,推荐类,,否
大宗交易买入的股票有锁定期吗？,知识库类,,否
快憶电悌明天行情会上涨吗？,预测类,,否
分析天汽模,诊股类,,否
龙溪股份明天的走势,预测类,,否
航天电子未来一年走势,预测类,,否
ETF基金是不是当天买当天可以卖,知识库类,,否
全信股份,诊股类,,否
帮我分析一下北方稀土,诊股类,,否
制造卫星的公司哪家业绩最好,选股类,,否
电子半导体材料股票有那些,选股类,,否
帮我分析一下南网科技,诊股类,,否
怎么开,知识库类,身份类,是
丰信生物,诊股类,,否
永鼎股份今天回落的原因,诊股类,新闻类,是
哎，只能提,通用类,,否
常山北明今天的表现不错帮我分析下原因,诊股类,,否
选一只航天短现股票,选股类,,否
level2怎么开,知识库类,,否
002151趋势,诊股类,预测类,是
分时图上出现机构扫货的线那个指标以后是什么意思,知识库类,,否
九丰能源明天走势会怎样,预测类,,否
高成长高毛利率绩优科技股,选股类,,否
火箭海上回收的股票有几个？,选股类,,否
你问，你问什么,通用类,"身份类, 知识库类",是
沪市的高成长高毛利率绩优科技股,选股类,,否
手机版指南针软件如何操作,知识库类,,否
无穷线是什么意思,知识库类,,否
分时图上出现那个潜伏吸筹的黄色柱状代表什么意思,知识库类,,否
沪市的高成长高毛利率低估值绩优科技股,选股类,,否
捷成股份明天会高开直线拉升涨停吗,预测类,,否
600570股票资金流入情况,诊股类,指标查询类,是
K线中圈中定是什么意思,知识库类,,否
帮我分析一下视觉中国,诊股类,,否
尾盘抢筹+主力资金的股票,选股类,,否
中远海发,诊股类,身份类,是
帮我分析一下中远海能,诊股类,,否
帮我分析一下东方钽业,诊股类,,否
帮我分析一下三六零,诊股类,,否
浙富控股后市行情如何,预测类,,否
帮我分析一下凯盛科技,诊股类,,否
推荐明天买入的股票,推荐类,,否
烽火通信今天涨停的原因,诊股类,新闻类,是
今天九丰能源今天未能封板的原因是什么,诊股类,,否
宁波华翔后市如何,预测类,,否
捷超股份明天会高开直线拉升涨停吗,预测类,,否
来一只超短股票,推荐类,选股类,是
高成长高毛利率低估值绩优科技股,选股类,,否
火箭海上发射的公司有几个,选股类,知识库类,是
卫星充电电源概念股,选股类,,否
分析一下北矿检测未来的发展趋势。,预测类,,否
指南针的股民日记在哪里,知识库类,身份类,是
风险等级问题,知识库类,,否
中电鑫龙后面会怎么样的走势,预测类,,否
国内期货白天和夜盘怎么看,知识库类,,否
你真呆,通用类,,否
机器就是机器,通用类,,否
明日润和软件如何操作？,预测类,,否
大盘量能,知识库类,指标查询类,是
具体有那些股票,选股类,,否
康龙化成。腰骨,诊股类,选股类,是
600150的走势,诊股类,K线图类,是
方正电机利润为什么涨几千倍,诊股类,知识库类,是
分析一下润和软件,诊股类,,否
德固特分析一下,诊股类,,否
风险等级A5是最高的吗？,知识库类,,否
一日资金增长在百分之四以上的股票,选股类,,否
300170能帮我分析一下,诊股类,,否
你真笨,通用类,,否
分析一下富瑞特装,诊股类,,否
芒果超媒,诊股类,身份类,是
帮我分析下银轮股份,诊股类,,否
与火箭发射成绩有关的股票,选股类,,否
行业核心是什么意思,知识库类,,否
赵延鑫要晚上挂单量是多少,指标查询类,,否
豪能股份,诊股类,分时图类,是
601992股票资金流入还是流出,指标查询类,指标查询类,是
金发科技可以继续持有吗,诊股类,,否
康龙华真的大股东,指标查询类,知识库类,是
明日热门股,选股类,,否
帮我分析一下京东方a,诊股类,,否
帮我分析一下药明康德,诊股类,,否
乐普医疗明天适合买吗,预测类,,否
刚刚强势走强的板块有哪些,选股类,新闻类,是
600536未来的走势,预测类,,否
福安药业,诊股类,,否
值在25以上的个股找出来,选股类,,否
600282趋势,诊股类,K线图类,是
与火箭发射场地有关的股票,选股类,,否
可以继续持吗,诊股类,,否
洛阳钼业现在可以加仓吗,诊股类,,否
因用股票,选股类,,否
小米精选策略是什么？,策略类,,否
高管增持策略是什么？,策略类,,否
费雪创业板低估策略是什么？,策略类,,否
社保大量持仓策略是什么？,策略类,,否
上升三法策略是什么？,策略类,,否
戴维斯风格策略是什么？,策略类,,否
600570股票资金流入情况,指标查询类,,否
博纳影业1日多空资金有多少,指标查询类,,否
300803的概念板块是什么,指标查询类,,否
301299名字是什么？,指标查询类,,否
华西股份发行价格是多少,指标查询类,,否
帮我调一下比亚迪最近三个月的日K线图。,K线图类,,否
我想看下上证指数去年下半年的历史走势图。,K线图类,,否
能给我看一下腾讯控股的周K线走势吗？,K线图类,,否
发我一下东方财富今年以来的K线图。,K线图类,,否
帮我拉一下苹果公司过去五年的月K线形态图。,K线图类,,否
看看贵州茅台今天的分时图,分时图类,,否
帮我调出特斯拉昨天开盘到收盘的分时走势。,分时图类,,否
我想看一下宁德时代现在的分时图情况。,分时图类,,否
能给我调一下招商银行今天上午的分时波动图吗？,分时图类,,否
发一下深证成指今日最新的分时图。,分时图类,,否
近期哪些板块的市场表现最为抢眼，未来是否还有上涨空间？,oos,,
给出短线，适合进场的股票。主板方向,oos,,
根据擒龙平台，推荐主板方向，适合进场的股票,oos,,
推荐一个主板方向，适合入手的股票。根据指南针轮动战法,oos,,
下个交易日上涨的股票推荐、今日可买入标的、带概率和操作建议,oos,,
分析一下603881，今天是出货还是洗盘？,oos,,
你好，我想把品屋食品，食品饮料一起中国平安还有品屋食品都换，换成600930华电性能行吗？,oos,,
三月份的主线会是什么板块，只选三支股票投资，请将最优的选出来！,oos,,
帮我分析一下上海电气这只股票今天及以后的走势,oos,,
